Date,E-waste(g)
2018-01-26,11039069.924847862
2018-01-27,11933449.649938785
2018-01-28,10966697.322012952
2018-01-29,9061695.80139002
2018-01-30,9852638.797369523
2018-01-31,8200382.487421748
2018-02-01,7624464.4938866515
2018-02-02,9439996.431880867
2018-02-03,9137106.543602476
2018-02-04,9097053.969021067
2018-02-05,7268569.84693508
2018-02-06,6883538.334348896
2018-02-07,6099523.331931717
2018-02-08,6233483.518332555
2018-02-09,5442629.735612057
2018-02-10,5634114.053276295
2018-02-11,6755014.5702279005
2018-02-12,9640637.000229118
2018-02-13,10427745.149029873
2018-02-14,10311798.993566526
2018-02-15,9135480.30259921
2018-02-16,9213461.277767578
2018-02-17,10067834.448884973
2018-02-18,9533029.626474746
2018-02-19,9933997.644979194
2018-02-20,9140112.855534183
2018-02-21,10740413.85589361
2018-02-22,10514411.643310381
2018-02-23,9503277.456944179
2018-02-24,9101595.224527605
2018-02-25,10520853.544661812
2018-02-26,9601439.425814318
2018-02-27,10205180.102265099
2018-02-28,10778164.116805876
2018-03-01,9574277.74281089
2018-03-02,10306016.804734815
2018-03-03,10758729.785006097
2018-03-04,10321614.20889793
2018-03-05,7584045.8153689075
2018-03-06,7449914.2093725605
2018-03-07,8005339.7366289785
2018-03-08,7706698.527763129
2018-03-09,7863543.40296254
2018-03-10,7098166.580513935
2018-03-11,6801076.690229673
2018-03-12,8170720.624990822
2018-03-13,8233101.227785412
2018-03-14,7390920.83602125
2018-03-15,7046656.034490072
2018-03-16,7399816.817148679
2018-03-17,7786706.259157542
2018-03-18,7486314.6773246415
2018-03-19,8187800.915369598
2018-03-20,7310570.1410874715
2018-03-21,7438792.509399188
2018-03-22,7557604.944653396
2018-03-23,6891479.172436022
2018-03-24,7977983.846832005
2018-03-25,7536997.613102573
2018-03-26,7564023.965769289
2018-03-27,7784612.806563525
2018-03-28,7808345.703166815
2018-03-29,7409763.576417364
2018-03-30,8453179.338697962
2018-03-31,7472819.423924079
2018-04-01,7450103.572391972
2018-04-02,8102875.512300738
2018-04-03,8160361.114121777
2018-04-04,7765806.392243597
2018-04-05,7876167.078691997
2018-04-06,7717254.9884804
2018-04-07,8536699.030308478
2018-04-08,8325458.279738788
2018-04-09,8339723.8646756755
2018-04-10,7758111.968114056
2018-04-11,8422296.523964541
2018-04-12,8214031.86079284
2018-04-13,8143350.710694334
2018-04-14,8910193.748379176
2018-04-15,8132390.246017379
2018-04-16,8487823.938539797
2018-04-17,8576335.214245481
2018-04-18,8988984.66667629
2018-04-19,9442821.001190372
2018-04-20,9456785.254369333
2018-04-21,8059817.52875646
2018-04-22,9046044.310731001
2018-04-23,8862467.527725223
2018-04-24,8587392.378017185
2018-04-25,8137737.505932606
2018-04-26,7575243.658819491
2018-04-27,7650490.050122252
2018-04-28,7795297.314906553
2018-04-29,9135052.024606582
2018-04-30,8725569.717763657
2018-05-01,8917969.590726215
2018-05-02,8568615.47308944
2018-05-03,8349091.735989822
2018-05-04,8334849.61465562
2018-05-05,7967183.897470694
2018-05-06,8856149.655298201
2018-05-07,7845624.905577229
